Facility Name,Location Address,Location Address2,City,State,Zip Code,County,Region,Phone Number,Owner Name,Owner Type,Activity Desc,Activity Number,Active,East Coordinate,North Coordinate,Accuracy Code,Waste Types,Authorization Number,Authorization Issue Date,Expiration Date,Georeference
Corazzini Asphalt; Inc.,6245 Cox Lane,,Cutchogue,NY,11935,Suffolk,1,6317345600,Corazzini Asphalt; Inc.,Private,CDDHRF - concrete; rock; brick; asphalt pavement or millings - registration,[52C20280],Yes,710319,4545262,4.3 - Utilization of Digital Orthophoto Quads,Asphalt;Concrete;Rock,52C20280,12/04/2024,12/03/2029,"6245 Cox Lane
Cutchogue, NY 11935
(41.03179, -72.49831)"
Troy Resource Management Facility,East Industrial Parkway and Main Street,,Troy,NY,12180,Rensselaer,4,,Troy Local Development Corporation,Municipal,Transfer facility - less than 50 tpd - registration,[42T11701],Yes,606507,4729264,1.1 - Obtained from original submission and unverified process,MSW (Residential/Institutional & Commercial);Single Stream,42T11701,01/06/2021,01/06/2026,"East Industrial Parkway and Main Street
Troy, NY 12180
(42.7084, -73.69978)"
Winters Bros Waste Systems of LI LLC Excel TS,151 Peconic Avenue,,Medford,NY,11763,Suffolk,1,6312893335,Peter Casserly - Winter Brothers Waste Systems,Private,CDDHRF - permit,[52CP0233],Yes,669758,4520419,4.3 - Utilization of Digital Orthophoto Quads,Concrete;Brick;Soil (Clean);Tree Debris;Rock;Construction & Demolition Debris,1-4722-00996/00005,10/12/2021,10/11/2026,"151 Peconic Avenue
Medford, NY 11763
(40.81656, -72.98686)"
North Hudson Transfer Station,Dump Road,,North Hudson,NY,12855,Essex,5,5185327217,Town of North Hudson,County,Transfer facility - less than 50 tpd - registration,[16T10014],Yes,602033,4867685,4 - GIS Assisted,MSW (Residential/Institutional & Commercial),16T10014,07/29/2022,07/29/2027,
Adsit Septic & Excavation LLC,7796 State Highway 12,,Sherburne,NY,13460,Chenango,7,6076744554,Robert Adsit,Private,Land application - septage - registration,[09A40003],Yes,459938,4722165,4.2.1 - Utilization of GIS and Facility Mapping System,Septage,09A40003,04/08/2025,04/07/2030,"7796 State Highway 12
Sherburne, NY 13460
(42.6509, -75.4889)"
H.U.R.B. Landscaping; Inc.,4278 Albany Street,,Albany,NY,12205,Albany,4,5184645030,RUUM Enterprises; LLC,Private,CDDHRF - uncontaminated unadulterated wood - registration,[01C50109],Yes,593065,4731478,4.1 - Address Matching,Construction & Demolition Debris,01P10106,04/18/2024,04/17/2029,"4278 Albany Street
Albany, NY 12205
(42.73007, -73.86304)"
DeChiaro Associates Corp. (Lot 2 & 2A),2 Grucci Lane,,Yaphank,NY,11716,Suffolk,1,6313748084,,,Mulch processing - permit,[52MP0246],Yes,674404,4519788,1 - No accuracy stated,,,,,"2 Grucci Lane
Yaphank, NY 11716
(40.81298, -72.93356)"
Ground Effects,2792 Brickyard Road,,Van Buren,NY,13164,Onondaga,7,3156891470,Clifford White,Private,Composting - SSO - registration,[34P20074],Yes,392989,477252,4.2 - Utilization of GIS and existing spatial data,Food Scraps;Yard Trimmings,34P20074,05/09/2023,05/08/2028,"2792 Brickyard Road
Van Buren, NY 13164
(43.09542, -76.31616)"
Vermi-Green LLC (Formerly Empire Recycling RJH Inc),744 Yellow Mills Road,,Palmyra,NY,14522,Ontario,8,5852897267,Ryan Heberle,Private,Composting - yard trimmings - registration,[35P10014],Yes,316140,4767477,1 - No accuracy stated,Leaves,35P10014,09/08/2023,09/07/2028,"744 Yellow Mills Road
Palmyra, NY 14522
(43.03793, -77.2564)"
Fenix Auto Parts Rochester LLC,2384 Creek Road,,Palmyra,NY,14522,Wayne,8,3155979800,STEVE BARKWELL,Private,VDF - registration,[59V51000],Yes,315540,4769630,,,59V51000,05/14/2018,05/13/2023,"2384 Creek Road
Palmyra, NY 14522
(43.05805, -77.26458)"
Halsted Processing Shale Mine,312 Old Plank Road,,Coxsackie,NY,12051,Greene,4,5183653754,John E. Halsted,Private,CDDHRF - concrete; rock; brick; asphalt pavement or millings - registration,[20C92801],Yes,594397,4689872,3 - Global Positioning System (GPS),CARB (concrete; asphalt; rock; brick),20C92801,03/03/2025,03/02/2030,"312 Old Plank Road
Coxsackie, NY 12051
(42.35173, -73.85511)"
Modern Landfill; Inc.,1445 Pletcher Road,,Model City,NY,14107,Niagara,9,7167548226,Modern Corporation,Private,WTHRF - permit,[32WP0010],Yes,176513,4791780,4.2 - Utilization of GIS and existing spatial data,Waste Tires,9-2924-00041/00006,08/06/2018,08/05/2028,"1445 Pletcher Road
Model City, NY 14107
(43.20882, -78.98108)"
Benny's Auto Salvage,2540 Degroff Road,,Nunda,NY,14517,Livingston,8,5854685551,Benjamin Wilkins,Private,VDF - registration,[26V50022],Yes,262450,4720200,1 - No accuracy stated,End of Life Vehicles VDFs;Waste Tire;Scrap Metal - Aluminum ;Scrap Metal - Ferrous ;Scrap Metal - Non-ferrous ;Stainless Steel,26V50022,10/08/2021,10/08/2026,"2540 Degroff Road
Nunda, NY 14517
(42.59631, -77.89534)"
Farwell Transfer Station,1430 Farwell Road,,Ischua,NY,14743,Cattaraugus,9,7165578324,Cattaraugus County DPW,County,Transfer facility - source separated recyclables - registration,[05T30011],Yes,220859,4679683,4.2.1 - Utilization of GIS and Facility Mapping System,Tin & Aluminum Containers,05T30011,02/26/2024,02/26/2029,"1430 Farwell Road
Ischua, NY 14743
(42.21949, -78.38673)"
Granby Pit,Stoney Robby Road,,Oswego,NY,13126,Oswego,7,3155646784,WD Malone Trucking & Excavating; Inc.,Private,CDDHRF - uncontaminated soil sand gravel rock - registration,[38C20034],Yes,382481,4800848,1 - No accuracy stated,Asphalt,38C20034,05/18/2023,05/17/2028,
JMI Frew Run SWMF,1060 Frew Run Road,,Carroll,NY,14738,Chautauqua,9,7166645108,Jamestown Macadam; Inc.,Private,CDDHRF - uncontaminated soil sand gravel rock - registration,[07C60064],Yes,158546,4662446,4.2 - Utilization of GIS and existing spatial data,Soil (Clean);Sand;Gravel;Rock,07C60064,06/23/2023,06/23/2028,"1060 Frew Run Road
Carroll, NY 14738
(42.03832, -79.12898)"
Fulton County Landfill,847 Mud Road,,Johnstown,NY,12095,Fulton,5,5187365501,Fulton County,County,Landfill - MSW - permit,[18LS0008],Yes,543214,4761865,1 - No accuracy stated,MSW (Residential/Institutional & Commercial);Commingled Paper & Containers;Asbestos (Friable);Waste Tires;Construction & Demolition Debris;Industrial;Sewage Treatment Plant Sludge;Yard Trimmings;Sludge (Industrial);Sludge (Paper mill);Petroleum Contaminated Soil,5-1728-00005/00003,06/13/2022,02/14/2027,"847 Mud Road
Johnstown, NY 12095
(43.01209, -74.48131)"
MJ Landscaping and Excavation; Inc.,2003 Clinton Street,,Bennington,NY,14011,Wyoming,9,7164328284,Amy Justinger,,CDDHRF - asphalt pavement and millings - registration,[61C20018],Yes,226652,4748147,4.2 - Utilization of GIS and existing spatial data,Asphalt Pavement,61C20018,07/10/2023,07/10/2028,"2003 Clinton Street
Bennington, NY 14011
(42.83623, -78.34474)"
Brian C Anderson,2188 New Jerusalem Road,,Eden,NY,14057,Erie,9,7169983476,Brian C Anderson,,Land application - Third Party CAFO Applier - registration,[15A60115],Yes,177609,4728318,4.2 - Utilization of GIS and existing spatial data,Manure,15A60115,04/12/2024,04/12/2029,"2188 New Jerusalem Road
Eden, NY 14057
(42.6394, -78.93186)"
Hamilton Transfer Station,7638 Cranston Road,,Hamilton,NY,13346,Madison,7,3156915700,Madison County Dept. of Solid Waste,Municipal,Transfer facility - less than 50 tpd - registration,[27T10008],Yes,459762,4737149,1 - No accuracy stated,MSW (Residential/Institutional & Commercial);Construction & Demolition Debris;Commingled Paper & Containers;Electronics;Yard Trimmings;Metals (Ferrous & Non-Ferrous);Waste Tires;Waste Oil (Other),27T10008,11/27/2023,11/26/2028,"7638 Cranston Road
Hamilton, NY 13346
(42.78594, -75.49388)"
Inwood Material Terminal LLC ( IMT-Oceanside),4001 Daly Boulevard,,Oceanside,NY,11572,Nassau,1,,2128 Grove LLC,Private,CDDHRF - asphalt pavement and millings - registration,[30C20167],Yes,614156,4497461,1 - No accuracy stated,Asphalt Pavement;Asphalt Millings,167,08/14/2023,08/08/2028,"4001 Daly Boulevard
Oceanside, NY 11572
(40.61893, -73.65072)"
Lauricella's Cars of the Past Antique Auto Parts,12469 Roosevelt Highway,,Lyndonville,NY,14098,Orleans,8,5857659106,Paul Lauricella; Jr.,Private,VDF - registration,[37V5000],Yes,231395,4805193,4.2 - Utilization of GIS and existing spatial data,End of Life Vehicles VDFs;Enameled Appliances / White Goods;Scrap Metal - Aluminum,37V50003,11/26/2025,11/26/2030,"12469 Roosevelt Highway
Lyndonville, NY 14098
(43.34977, -78.31489)"
ESMI of New York,304 Towpath Road,,Fort Edward,NY,12828,Washington,5,5187475500,ESMI of New York LLC,Private,Other,[58Z01],Yes,615717,4796220,4.3 - Utilization of Digital Orthophoto Quads,,5-5330-00038/00019,07/22/2015,07/31/2025,"304 Towpath Road
Fort Edward, NY 12828
(43.27891, -73.57379)"
Mohawk Valley Materials Inc. - 6805 Martin St.,6805 Martin Street,,Rome,NY,13440,Oneida,6,3152716216,Joseph Rutkowski,Private,Composting - source separated organic waste - registration,[33C07],Yes,464387,4782756,,,33C06,08/14/2015,,"6805 Martin Street
Rome, NY 13440
(43.19513, -75.43847)"
A & J Towing & Auto Body Inc,21 Saw Mill River Road,,Yonkers,NY,10701,Westchester,3,9144233409,William Mulvaney,Private,Vehicle Dismantling Facility,[60J01],Yes,593961,4532709,,,,,,"21 Saw Mill River Road
Yonkers, NY 10701
(40.94007, -73.88365)"
Poland Sand & Gravel Mine #2,NYS RTE 8,,Cold Brook,NY,13324,Herkimer,6,3158263755,Poland Realty; LLC,Private,Landfill - land clearing debris,[22D08],Yes,495751,4785550,4.3 - Utilization of Digital Orthophoto Quads,,22D08,12/03/2008,,
Organic Recycling Inc,121 Rt. 303,,Tappan,NY,10962,Rockland,3,8453981012,Beng Leong Ooi,Private,Composting - yard waste - permit,[44Y09],Yes,588894,4541336,4.3 - Utilization of Digital Orthophoto Quads,Yard Trimmings,3-3330-00082/00005,01/22/2016,01/21/2026,"121 Rt. 303
Tappan, NY 10962
(41.03461, -73.94716)"
Heidelberg Materials Northeast New York LLC - Stafford,5870 Main Road,,Stafford,NY,14143,Genesee,8,5853431787,Heidelberg Materials Northeast New York LLC Stafford,Private,CDDHRF - asphalt pavement and millings - registration,[19C20015],Yes,247804,4762983,1 - No accuracy stated,Asphalt,19W04,,,"5870 Main Road
Stafford, NY 14143
(42.98407, -78.09427)"
Westchester County South Columbus Ave TS,10 Kimball Place,Off So Columbus Ave,Mt. Vernon,NY,10550,Westchester,3,9146373067,Westchester County,County,Transfer facility - permit,[60T19],Yes,599364,4528204,,MSW (Residential/Institutional & Commercial),3-5508-00140/00001-0,12/20/2007,12/19/2017,"10 Kimball Place
Mt. Vernon, NY 10550
(40.89905, -73.8208)"
Yellow Trading LTD,40 Zorn Blvd,,Yaphank,NY,11980,Suffolk,1,6313959888,David Parisi,Private,Used Cooking Oil Processing,[52R32],Yes,673669,4519849,,Used Cooking Oil;Grease Trap Waste,1-4722-04503/00002,06/07/2019,06/06/2024,"40 Zorn Blvd
Yaphank, NY 11980
(40.81126, -72.94047)"
Freeport Auto Parts & Wrecking Corp,122 Buffalo Ave,,Freeport,NY,11520,Nassau,1,5168682026,Freeport Auto Parts & Wrecking Corp.,Private,VDF - registration,[30V50126],Yes,613893,4497982,,End of Life Vehicles VDFs,30V50126,10/08/2025,10/07/2030,"122 Buffalo Ave
Freeport, NY 11520
(40.65063, -73.57104)"
Delaware County SWMF,32230 NYS Route 10,,Walton,NY,13856,Delaware,4,6077462128,Delaware County,County,Landfill - MSW - permit,[13S18],Yes,495542,4667569,1.1 - Obtained from original submission and unverified process,MSW (Residential/Institutional & Commercial);Construction & Demolition Debris;Asbestos (Friable);Sewage Treatment Plant Sludge;Tree Debris;Petroleum Contaminated Soil;Commingled Paper & Containers,4-1256-00008/00007,08/16/2021,06/04/2024,"32230 NYS Route 10
Walton, NY 13856
(42.16169, -75.04848)"
Constantine Construction & Farm  Inc,566 Albany Shaker Road,,Loudonville,NY,12211,Albany,4,5184588294,Laura M. Szesnat,Private,C&D processing - registration,[01W15],Yes,599359,4730104,4.2 - Utilization of GIS and existing spatial data,Concrete,01W15,04/20/2011,,"566 Albany Shaker Road
Loudonville, NY 12211
(42.71708, -73.78635)"
Northern Transfer Station,5802 St Hwy 28,,Cooperstown,NY,13326,Otsego,4,6075475967,Otsego County,Municipal,RHRF - permit,[39RP5050],Yes,504419,4728822,1 - No accuracy stated,,4-3650-00019/00003,08/07/2019,07/18/2024,"5802 St Hwy 28
Cooperstown, NY 13326
(42.70797, -74.94933)"
Northport (V) Highway Department Staging Area,1 Ketcham Place,Clipper Drive on 2013 AR,Northport,NY,11768,Suffolk,1,6312617502,Incorporated Village of Northport,Municipal,C&D processing - registration,[52R30R],Yes,638495,4528194,4.3 - Utilization of Digital Orthophoto Quads,Street Sweepings;Wood (Chips),52R30R,,,"1 Ketcham Place
Northport, NY 11768
(40.89397, -73.35445)"
Town of Trenton Transfer Station,224 Veteran's Way,,Trenton (T),NY,13304,Oneida,6,3158962615,Town of Trenton,Municipal,CDDHRF - uncontaminated unadulterated wood - registration,[33C50025],Yes,484753,4789848,,Wood (Unadulterated),33C50025,07/29/2021,07/28/2026,
Tylers LLC,30 North Street,,Cleveland,NY,13042,Oswego,7,3156758833,Randall Tyler,Private,VDF - small - registration,[38V20032],Yes,428549,4787342,,End of Life Vehicles VDFs,38V20032,11/30/2021,11/29/2026,"30 North Street
Cleveland, NY 13042
(43.23597, -75.88081)"
North End Auto Repair & Salvage Inc - Pine Street,78 Lower Pine Street,,Potsdam,NY,13676,St. Lawrence,6,3152440822,Belinda J. Martin Stone,Private,Motor vehicle repair shop - registration,[45V40007],Yes,499943,4947023,4.1 - Address Matching,End of Life Vehicles VDFs,45V40007,11/15/2019,11/14/2024,"78 Lower Pine Street
Potsdam, NY 13676
(44.67661, -74.99967)"
MRC Recycling,430 County Rd 44,,Chase Mills,NY,13621,St. Lawrence,6,3153843409,Michael R. Campbell,,VDF - registration,[45V50037],Yes,495256,4962464,4.1 - Address Matching,End of Life Vehicles VDFs,45V50037,12/10/2025,12/09/2030,"430 County Rd 44
Chase Mills, NY 13621
(44.81507, -75.06015)"
Koskowski Automotive; LLC,857 Hannibal Street,,Fulton,NY,13069,Oswego,7,3155936310,Ronald F. Koskowski,Private,VDF - registration,[38V50030],Yes,383239,4797983,1 - No accuracy stated,End of Life Vehicles VDFs,38V50030,10/30/2025,10/29/2030,"857 Hannibal Street
Fulton, NY 13069
(43.32557, -76.43967)"
Lake George Sand & Gravel LCD,70 Transfer Road,,Lake George,NY,12845,Warren,5,5187984151,Cutting Edge Group LLC,Private,Landfill - land clearing debris,[57D13],Yes,603017,4805828,,Land Clearing Debris,57D13,10/23/2002,,"70 Transfer Road
Lake George, NY 12845
(43.39865, -73.72517)"
Sherrill Waste Water Treatment Plant,201 Fairway Lane,,Sherrill,NY,13461,Oneida,6,3153632440,City of Sherrill,Municipal,CDDHRF - uncontaminated unadulterated wood - registration,[33C50033],Yes,449909,4768797,1 - No accuracy stated,Tree Debris,33C50033,03/20/2023,03/19/2028,"201 Fairway Lane
Sherrill, NY 13461
(43.07033, -75.61469)"
Agri-Cycle of Washington County Inc,PO Box 89; Belle Road,,Buskirk,NY,12028,Washington,5,4135523688,CTI Agri-Cycle; LLC,Private,Composting - source separated organic waste - permit,[58PP0022],Yes,422780,4893863,4.3 - Utilization of Digital Orthophoto Quads,Yard Trimmings;Sludge (Papermill);Wood (Chips);Biosolids,5-5322-00022/00003,07/28/2021,07/27/2026,
Paragon Recycling & Transfer Corp,35 Dale Steet,,West Babylon,NY,11704,Suffolk,1,6312491639,Paragon Recycling & Transfer Corp,Private,CDDHRF - permit,[52CP0362],Yes,635999,4510103,4.3 - Utilization of Digital Orthophoto Quads,Construction & Demolition Debris;Tree Debris;Metals (Ferrous);Metals (Non-Ferrous);Roofing Shingles;Wood (Unadulterated Pallets);Asphalt;Brick;Rock;Concrete;Paper / Cardboard;Plastics,1-4720-00581/00002,04/26/2023,04/25/2028,"35 Dale Steet
West Babylon, NY 11704
(40.73045, -73.38987)"
2550 Manitou Road LLC,Manitou Road,,Gates,NY,14559,Monroe,8,5853703452,2550 Manitou Road LLC,Private,CDDHRF - concrete rock brick - registration,[28C10028],Yes,276286,4782537,4.2 - Utilization of GIS and existing spatial data,Concrete;Brick;Rock,28C10028,08/10/2022,08/09/2027,
Auburn Landfill No 2,311 N. Division St.,,Auburn,NY,13021,Cayuga,7,3152526441,City of Auburn,Municipal,Composting - yard trimmings - registration,[06P10002],Yes,369852,4756819,,Yard Trimmings,06P10002,04/18/2023,05/04/2028,"311 N. Division St.
Auburn, NY 13021
(42.95164, -76.58725)"
Clayton Transfer Station,36243 County Route 4,,Clayton (T),NY,13624,Jefferson,6,3156864310,Town of Clayton,Municipal,Transfer facility - less than 50 tpd - registration,[23T10013],Yes,407708,4893948,4.2 - Utilization of GIS and existing spatial data,MSW (Residential/Institutional & Commercial);Tree Debris;Yard Trimmings,23T10013,04/09/2024,04/08/2029,"36243 County Route 4
Clayton (T), NY 13624
(44.19242, -76.15458)"
Port Jefferson Village Clean Fill,Old Homestead Road,,Port Jefferson,NY,11777,Suffolk,1,6314734733,Village of Port Jefferson,Municipal,Landfill - Long Island - cleanfill < 2 acres,[52D43],Yes,664006,4536339,4.2 - Utilization of GIS and existing spatial data,Land Clearing Debris;Brick;Concrete;Soil (Clean);Tree Debris;Wood (Trees/Stumps),1-4722-00871/00001,12/12/2012,12/11/2022,
Casella Recycling Stanley,3555 County Road 49,,Stanley,NY,14561,Ontario,8,5855264420,Ontario County,County,RHRF - registration,[35R30013],Yes,328915,4747063,4.2.1 - Utilization of GIS and Facility Mapping System,Single Stream;Commingled Paper;Paperboard/Boxboard;Mixed Commercial;Commingled Containers;Paper / Cardboard;Plastics;Commingled Recyclables;Other Ferrous Scrap Metal;Other Non-Ferrous Scrap Metal,35R30013,06/09/2025,06/09/2030,"3555 County Road 49
Stanley, NY 14561
(42.85754, -77.09461)"
Peckham Materials Corp - Chestertown,5983 Route 9,,Chestertown,NY,12817,Warren,5,5184942313,Peckham Materials Corp.,Private,CDDHRF - uncontaminated soil sand gravel rock - registration,[57C60031],Yes,596849,4831238,,Soil (Clean);Sand;Gravel,47C90031,01/19/2024,01/18/2029,"5983 Route 9
Chestertown, NY 12817
(43.6278, -73.7989)"
S. St. George Enterprises; Inc.,3624 Webster Road,,Fredonia,NY,14063,Chautauqua,9,7166722488,S. St. George Enterprises; Inc.,Private,Composting - yard trimmings - registration,[07P10060],Yes,146452,4705925,4.2 - Utilization of GIS and existing spatial data,Yard Trimmings;Grass Clippings,07P10060,09/07/2021,09/07/2026,"3624 Webster Road
Fredonia, NY 14063
(42.42168, -79.29963)"
Canaseraga Recycling Center and Transfer Station,89 Main Street,,Canaseraga,NY,14822,Allegany,9,5852685415,Allegany County Department of Public Works,County,Transfer facility - less than 50 tpd - registration,[02T10015],Yes,271189,4704565,4.2 - Utilization of GIS and existing spatial data,MSW (Residential/Institutional & Commercial);Commingled Paper;Commingled Plastics;Container Glass;Other - Batteries;Tin & Aluminum Containers;Textiles;Metals (Ferrous & Non-Ferrous);Corrugated Cardboard,02T10015,10/07/2024,10/07/2029,"89 Main Street
Canaseraga, NY 14822
(42.46061, -77.78345)"
PJ's Auto Parts Inc,2708 West Main Street,,Caledonia,NY,14423,Livingston,8,5855382391,William Jones,Private,VDF - registration,[26V50006],Yes,264613,4762430,,End of Life Vehicles VDFs,26V50006,10/04/2023,10/04/2028,"2708 West Main Street
Caledonia, NY 14423
(42.97808, -77.88477)"
Watertown Transfer Station,19624 Heines Road,,Watertown,NY,13601,Jefferson,6,3157860523,Town of Watertown,Municipal,Transfer facility - less than 50 tpd - registration,[23T10035],Yes,421279,4861559,4.2 - Utilization of GIS and existing spatial data,MSW (Residential/Institutional & Commercial),23R10035,12/11/2020,12/11/2025,"19624 Heines Road
Watertown, NY 13601
(43.90288, -75.98071)"
Superior Disposal TS,1180 Elmira Road,,Newfield,NY,14867,Tompkins,7,6072773000,Casella Waste Management NY,Private,CDDHRF - permit,[55CP0011],Yes,371400,4694500,4.2 - Utilization of GIS and existing spatial data,Construction & Demolition Debris,7-5034-00036/00002,10/23/2014,11/30/2024,"1180 Elmira Road
Newfield, NY 14867
(42.39111, -76.56213)"
